# FINAL THESIS EXPERIMENTAL EVIDENCE. Tier-2 live software-based testbed: real 5G NAS/NGAP/GTP-U via Open5GS and UERANSIM, and a real IEEE 802.11 association and EAP-TLS exchange via mac80211_hwsim, over simulated radios. Not an RF, propagation, interference, channel-quality, spectrum-coexistence or physical-handover measurement. Generated from results/final/raw/; no value was typed by hand.
run_id,campaign,scenario,strategy,strategy_label,seed,condition,device_count,decision_latency_ms_median,decision_latency_ms_p95,engine_time_us_median,nr_context_ms_median,wlan_context_ms_median,transition_ms_median,app_recovery_ms_median,reauthentications,step_ups,state_changes,messages,bytes,app_operations,cpu_seconds,cpu_percent,memory_mib_peak,wall_seconds,scenario_span_s,false_acceptance_rate,false_rejection_rate,confusion_adversarial_total,confusion_correct_acceptance,confusion_correct_rejection,confusion_correct_total,confusion_false_acceptance,confusion_false_negative,confusion_false_positive,confusion_false_rejection,confusion_illegitimate_total,confusion_labelled_total,confusion_legitimate_total,confusion_true_negative,confusion_true_positive
E01-ca_ztcf-20260907-20260906T142351507401Z,primary,E01,ca_ztcf,C CA-ZTCF,20260907,default,1,0.513236,0.5798882,7.087,0.0288685,,,,0,0,0,3,,2,0.01,62.286,57.67578125,0.016055,10.0,,0.0,0,4,0,4,0,0,0,0,0,4,4,4,0
E01-ca_ztcf-20260908-20260906T142351636944Z,primary,E01,ca_ztcf,C CA-ZTCF,20260908,default,1,0.5250330000000001,0.5879709000000001,5.336,0.036517999999999995,,,,0,0,0,3,,2,0.02,99.94,57.6875,0.020012,10.0,,0.0,0,4,0,4,0,0,0,0,0,4,4,4,0
E01-ca_ztcf-20260909-20260906T142351764581Z,primary,E01,ca_ztcf,C CA-ZTCF,20260909,default,1,0.44047000000000003,0.5266504,4.9399999999999995,0.027014,,,,0,0,0,3,,2,0.01,58.449,57.6953125,0.017109,10.0,,0.0,0,4,0,4,0,0,0,0,0,4,4,4,0
E01-ca_ztcf-20260910-20260906T142351894921Z,primary,E01,ca_ztcf,C CA-ZTCF,20260910,default,1,0.455144,0.5024930000000001,5.3145,0.029556,,,,0,0,0,3,,2,0.01,77.785,57.6953125,0.012856,10.0,,0.0,0,4,0,4,0,0,0,0,0,4,4,4,0
E01-ca_ztcf-20260911-20260906T142352024074Z,primary,E01,ca_ztcf,C CA-ZTCF,20260911,default,1,0.412644,0.5035332,4.398,0.0233655,,,,0,0,0,3,,2,0.01,63.339,57.6953125,0.015788,10.0,,0.0,0,4,0,4,0,0,0,0,0,4,4,4,0
E01-ca_ztcf-20260912-20260906T142352153659Z,primary,E01,ca_ztcf,C CA-ZTCF,20260912,default,1,0.47206899999999996,0.5427918999999999,5.211,0.027305,,,,0,0,0,3,,2,0.02,117.779,57.6953125,0.016981,10.0,,0.0,0,4,0,4,0,0,0,0,0,4,4,4,0
E01-ca_ztcf-20260913-20260906T142352272636Z,primary,E01,ca_ztcf,C CA-ZTCF,20260913,default,1,0.45045500000000005,0.5249858000000001,4.9399999999999995,0.027868,,,,0,0,0,3,,2,0.02,130.302,57.6953125,0.015349,10.0,,0.0,0,4,0,4,0,0,0,0,0,4,4,4,0
E01-ca_ztcf-20260914-20260906T142352405986Z,primary,E01,ca_ztcf,C CA-ZTCF,20260914,default,1,0.48520050000000003,0.5566366500000001,5.0865,0.03608,,,,0,0,0,3,,2,0.01,74.162,57.6953125,0.013484,10.0,,0.0,0,4,0,4,0,0,0,0,0,4,4,4,0
E01-ca_ztcf-20260915-20260906T142352541504Z,primary,E01,ca_ztcf,C CA-ZTCF,20260915,default,1,0.477405,0.5461767,5.7945,0.032933000000000004,,,,0,0,0,3,,2,0.01,70.567,57.6953125,0.014171,10.0,,0.0,0,4,0,4,0,0,0,0,0,4,4,4,0
E01-ca_ztcf-20260916-20260906T142352683479Z,primary,E01,ca_ztcf,C CA-ZTCF,20260916,default,1,0.4578745,0.56572195,4.9815000000000005,0.026367500000000002,,,,0,0,0,3,,2,0.01,66.707,57.703125,0.014991,10.0,,0.0,0,4,0,4,0,0,0,0,0,4,4,4,0
E01-ca_ztcf-20260917-20260906T142352826638Z,primary,E01,ca_ztcf,C CA-ZTCF,20260917,default,1,0.4513085,0.53527535,4.773,0.023469999999999998,,,,0,0,0,3,,2,0.01,72.854,57.7109375,0.013726,10.0,,0.0,0,4,0,4,0,0,0,0,0,4,4,4,0
