# FINAL THESIS EXPERIMENTAL EVIDENCE. Tier-2 live software-based testbed: real 5G NAS/NGAP/GTP-U via Open5GS and UERANSIM, and a real IEEE 802.11 association and EAP-TLS exchange via mac80211_hwsim, over simulated radios. Not an RF, propagation, interference, channel-quality, spectrum-coexistence or physical-handover measurement. Generated from results/final/raw/; no value was typed by hand.
device_count,strategy,seed,decision_latency_ms_median,decision_latency_ms_p95,engine_time_us_median,nr_context_ms_median,wlan_context_ms_median,transition_ms_median,app_recovery_ms_median,reauthentications,step_ups,state_changes,messages,bytes,app_operations,cpu_seconds,cpu_percent,memory_mib_peak,wall_seconds,false_acceptance_rate,false_rejection_rate
1,ca_ztcf,20260907,0.573251,0.6377423000000001,5.269500000000001,0.033141,0.040548,,,0,0,1,0,0,0,0.01,53.319,59.33984375,0.018755,,0.0
1,ca_ztcf,20260908,0.5146755000000001,0.53224125,5.048,0.02974,0.039161,,,0,0,1,0,0,0,0.02,145.075,59.33984375,0.013786,,0.0
1,ca_ztcf,20260909,0.9170200000000001,1.3066192,8.9985,0.027924,0.093701,,,0,0,1,0,0,0,0.01,5.507,59.33984375,0.181589,,0.0
1,ca_ztcf,20260910,0.540297,0.5670063,5.4495000000000005,0.030289,0.041232,,,0,0,1,0,0,0,0.01,73.654,59.3359375,0.013577,,0.0
1,ca_ztcf,20260911,0.545895,0.5469975,5.302,0.030332,0.034472,,,0,0,1,0,0,0,0.02,148.104,59.3359375,0.013504,,0.0
1,ca_ztcf,20260912,0.5954485,0.61822345,5.2385,0.029614,0.040133,,,0,0,1,0,0,0,0.01,72.27,59.3359375,0.013837,,0.0
1,ca_ztcf,20260913,0.545641,0.5521048,5.365,0.029657,0.034895,,,0,0,1,0,0,0,0.02,60.964,59.3359375,0.032806,,0.0
1,ca_ztcf,20260914,0.5223875,0.53536955,4.8919999999999995,0.030113,0.036525,,,0,0,1,0,0,0,0.01,64.662,59.3359375,0.015465,,0.0
1,ca_ztcf,20260915,0.527533,0.5597971,5.1875,0.032096,0.032602,,,0,0,1,0,0,0,0.01,63.119,59.33984375,0.015843,,0.0
1,ca_ztcf,20260916,0.5403545000000001,0.54194885,5.778499999999999,0.02927,0.033572,,,0,0,1,0,0,0,0.01,69.959,59.33984375,0.014294,,0.0
1,ca_ztcf,20260917,0.533353,0.5555965,5.2925,0.029354,0.041247,,,0,0,1,0,0,0,0.01,72.828,59.33984375,0.013731,,0.0
1,ca_ztcf,20260918,0.5234209999999999,0.5264009,5.1035,0.028216,0.034373,,,0,0,1,0,0,0,0.01,56.205,59.33984375,0.017792,,0.0
1,ca_ztcf,20260919,0.549169,0.5683759,5.9045000000000005,0.034162,0.033867,,,0,0,1,0,0,0,0.01,63.621,59.33984375,0.015718,,0.0
1,ca_ztcf,20260920,0.5254875,0.5362105500000001,5.1035,0.027878,0.03682,,,0,0,1,0,0,0,0.01,74.388,59.33984375,0.013443,,0.0
1,ca_ztcf,20260921,0.5339860000000001,0.5369092,5.250500000000001,0.027751,0.038337,,,0,0,1,0,0,0,0.02,146.821,59.33984375,0.013622,,0.0
1,ca_ztcf,20260922,0.4694515,0.49746175,4.7375,0.027375,0.029017,,,0,0,1,0,0,0,0.01,51.789,59.33984375,0.019309,,0.0
1,ca_ztcf,20260923,0.470568,0.4942767,4.6955,0.027964,0.037103,,,0,0,1,0,0,0,0.01,58.976,59.33984375,0.016956,,0.0
1,ca_ztcf,20260924,0.46090200000000003,0.46791390000000005,4.696,0.026111,0.037229,,,0,0,1,0,0,0,0.02,121.197,59.33984375,0.016502,,0.0
1,ca_ztcf,20260925,0.525822,0.5387280000000001,5.8535,0.028385,0.037398,,,0,0,1,0,0,0,0.01,62.98,59.33984375,0.015878,,0.0
1,ca_ztcf,20260926,0.508618,0.5389029999999999,4.9065,0.028469,0.027585,,,0,0,1,0,0,0,0.01,69.652,59.33984375,0.014357,,0.0
1,ca_ztcf,20260927,0.541889,0.5744096,4.8435,0.028765,0.024931,,,0,0,1,0,0,0,0.01,60.463,59.33984375,0.016539,,0.0
1,ca_ztcf,20260928,0.500996,0.5347676,5.3065,0.031501,0.026532,,,0,0,1,0,0,0,0.01,61.47,59.33984375,0.016268,,0.0
1,ca_ztcf,20260929,0.514178,0.5448976999999999,4.858,0.029149,0.029695,,,0,0,1,0,0,0,0.01,74.107,59.33984375,0.013494,,0.0
1,ca_ztcf,20260930,0.5180045,0.52877435,5.1315,0.029148,0.035205,,,0,0,1,0,0,0,0.01,73.883,59.33984375,0.013535,,0.0
1,ca_ztcf,20260931,0.5305179999999999,0.5794644999999999,5.6995000000000005,0.05081,0.034868,,,0,0,1,0,0,0,0.01,63.444,59.33984375,0.015762,,0.0
1,ca_ztcf,20260932,0.5365125,0.55523205,5.4465,0.032555,0.043113,,,0,0,1,0,0,0,0.01,70.937,59.33984375,0.014097,,0.0
